frame,r00,r01,r02,r10,r11,r12,r20,r21,r22,elapsed_sec
100,0.9996968929,0.0104869026,-0.0222743565,-0.0105376228,0.9999421427,-0.0021608994,0.0222504061,0.0023949631,0.9997495607,27.901
101,0.9996969214,0.0104893027,-0.0222719475,-0.0105400351,0.9999421156,-0.0021616775,0.0222479832,0.0023957693,0.9997496127,52.956
102,0.9996969214,0.0104893027,-0.0222719475,-0.0105400351,0.9999421156,-0.0021616775,0.0222479832,0.0023957693,0.9997496127,24.908
103,0.999696896,0.0104995153,-0.0222682752,-0.0105503791,0.9999419931,-0.002167866,0.0222442213,0.0024021475,0.9997496811,29.709
104,0.999696896,0.0104995153,-0.0222682752,-0.0105503791,0.9999419931,-0.002167866,0.0222442213,0.0024021475,0.9997496811,24.663
105,0.9996967181,0.0105105664,-0.0222710495,-0.0105616546,0.9999418531,-0.0021775291,0.0222468668,0.0024120877,0.9997495983,29.359
106,0.9996966213,0.0105157516,-0.0222729464,-0.0105669478,0.9999417872,-0.0021821224,0.0222487026,0.0024168173,0.999749546,43.984
107,0.9996965583,0.0105203466,-0.0222736058,-0.0105716363,0.9999417287,-0.0021861989,0.0222493077,0.0024210038,0.9997495224,38.357
108,0.9996847763,0.0113577175,-0.0223908489,-0.0114267719,0.9999303355,-0.0029584997,0.0223556866,0.0032134221,0.9997449163,52.163
109,0.9996847763,0.0113577175,-0.0223908489,-0.0114267719,0.9999303355,-0.0029584997,0.0223556866,0.0032134221,0.9997449163,25.564
110,0.9996847763,0.0113577175,-0.0223908489,-0.0114267719,0.9999303355,-0.0029584997,0.0223556866,0.0032134221,0.9997449163,25.029
111,0.9996846878,0.0113663622,-0.0223904147,-0.0114355951,0.9999302111,-0.0029664534,0.0223551337,0.0032215656,0.9997449025,29.036
112,0.9996846382,0.0113704023,-0.0223905788,-0.0114397334,0.9999301509,-0.0029707807,0.0223552353,0.0032259859,0.999744886,66.340
113,0.9996846056,0.0113809481,-0.0223866763,-0.011450501,0.9999299968,-0.0029811487,0.0223511803,0.003236547,0.9997449425,52.011
114,0.9996845965,0.0114018367,-0.0223764495,-0.011471817,0.9999296915,-0.0030015314,0.0223406527,0.0032572831,0.9997451105,34.493
115,0.9996845965,0.0114018367,-0.0223764495,-0.011471817,0.9999296915,-0.0030015314,0.0223406527,0.0032572831,0.9997451105,24.657
116,0.9996845965,0.0114018367,-0.0223764495,-0.011471817,0.9999296915,-0.0030015314,0.0223406527,0.0032572831,0.9997451105,24.707
117,0.9996845965,0.0114018367,-0.0223764495,-0.011471817,0.9999296915,-0.0030015314,0.0223406527,0.0032572831,0.9997451105,24.691
118,0.9996848233,0.0114214958,-0.0223562834,-0.0114919606,0.9999293866,-0.0030259635,0.0223201431,0.0032819271,0.999745488,34.230
119,0.9996848233,0.0114214958,-0.0223562834,-0.0114919606,0.9999293866,-0.0030259635,0.0223201431,0.0032819271,0.999745488,25.510
120,0.9996848233,0.0114214958,-0.0223562834,-0.0114919606,0.9999293866,-0.0030259635,0.0223201431,0.0032819271,0.999745488,24.600
121,0.9997204216,0.0128345103,-0.0198583433,-0.0129249072,0.9999066545,-0.0044304519,0.0197996263,0.0046858803,0.9997929875,107.104
122,0.9997377369,0.0130882853,-0.0187923926,-0.0131765966,0.999902681,-0.0045832005,0.0187305769,0.0048296181,0.9998129029,53.608
123,0.9997377369,0.0130882853,-0.0187923926,-0.0131765966,0.999902681,-0.0045832005,0.0187305769,0.0048296181,0.9998129029,24.958
124,0.9997377369,0.0130882853,-0.0187923926,-0.0131765966,0.999902681,-0.0045832005,0.0187305769,0.0048296181,0.9998129029,24.748
125,0.9997377369,0.0130882853,-0.0187923926,-0.0131765966,0.999902681,-0.0045832005,0.0187305769,0.0048296181,0.9998129029,24.510
126,0.9997377369,0.0130882853,-0.0187923926,-0.0131765966,0.999902681,-0.0045832005,0.0187305769,0.0048296181,0.9998129029,24.760
127,0.9997377369,0.0130882853,-0.0187923926,-0.0131765966,0.999902681,-0.0045832005,0.0187305769,0.0048296181,0.9998129029,24.991
128,0.9997377369,0.0130882853,-0.0187923926,-0.0131765966,0.999902681,-0.0045832005,0.0187305769,0.0048296181,0.9998129029,25.209
129,0.9997377369,0.0130882853,-0.0187923926,-0.0131765966,0.999902681,-0.0045832005,0.0187305769,0.0048296181,0.9998129029,24.661
130,0.9997377369,0.0130882853,-0.0187923926,-0.0131765966,0.999902681,-0.0045832005,0.0187305769,0.0048296181,0.9998129029,25.252
131,0.9997377794,0.0130894773,-0.0187893016,-0.0131777503,0.9999026716,-0.0045819402,0.018727497,0.0048283393,0.9998129668,34.321
132,0.9997377794,0.0130894773,-0.0187893016,-0.0131777503,0.9999026716,-0.0045819402,0.018727497,0.0048283393,0.9998129668,25.303
133,0.9997377794,0.0130894773,-0.0187893016,-0.0131777503,0.9999026716,-0.0045819402,0.018727497,0.0048283393,0.9998129668,23.219
134,0.9997377794,0.0130894773,-0.0187893016,-0.0131777503,0.9999026716,-0.0045819402,0.018727497,0.0048283393,0.9998129668,24.991
135,0.9997377069,0.0130926082,-0.0187909762,-0.013180917,0.9999026232,-0.0045833917,0.0187291372,0.0048298716,0.9998129287,40.462
136,0.9997377069,0.0130926082,-0.0187909762,-0.013180917,0.9999026232,-0.0045833917,0.0187291372,0.0048298716,0.9998129287,26.328
137,0.9997371401,0.0131139913,-0.0188062122,-0.0132024868,0.9999023118,-0.0045892312,0.0187441913,0.0048363134,0.9998126154,35.914
138,0.9997365134,0.0131363408,-0.0188239211,-0.0132249583,0.9999020069,-0.0045909693,0.0187617673,0.0048387049,0.9998122742,36.705
139,0.9997319088,0.0132689715,-0.0189748409,-0.0133581641,0.9999002794,-0.004581564,0.0189121554,0.0048338044,0.9998094645,31.089
140,0.9995218623,0.0173389526,-0.0256009234,-0.0173509402,0.9998494308,-0.0002461632,0.0255927998,0.0006902452,0.9996722127,211.508
141,0.9995193386,0.0173638405,-0.0256824564,-0.0173753654,0.9998490115,-0.0002256329,0.0256746601,0.0006717662,0.9996701262,30.771
142,0.9995193386,0.0173638405,-0.0256824564,-0.0173753654,0.9998490115,-0.0002256329,0.0256746601,0.0006717662,0.9996701262,25.979
143,0.9995193386,0.0173638405,-0.0256824564,-0.0173753654,0.9998490115,-0.0002256329,0.0256746601,0.0006717662,0.9996701262,301.881
144,0.9994324991,0.0184804997,-0.0281629295,-0.0184748674,0.9998292192,0.0004602114,0.0281666241,6.03558e-05,0.9996032404,82.001
145,0.9987663811,0.0242347855,-0.0433404074,-0.0239506762,0.9996881933,0.0070626697,0.0434980552,-0.0060159254,0.999035399,291.263
146,0.9987663811,0.0242347855,-0.0433404074,-0.0239506762,0.9996881933,0.0070626697,0.0434980552,-0.0060159254,0.999035399,25.926
147,0.9987663811,0.0242347855,-0.0433404074,-0.0239506762,0.9996881933,0.0070626697,0.0434980552,-0.0060159254,0.999035399,26.572
148,0.9987663811,0.0242347855,-0.0433404074,-0.0239506762,0.9996881933,0.0070626697,0.0434980552,-0.0060159254,0.999035399,27.629
149,0.9987663811,0.0242347855,-0.0433404074,-0.0239506762,0.9996881933,0.0070626697,0.0434980552,-0.0060159254,0.999035399,301.831
150,0.9987663811,0.0242347855,-0.0433404074,-0.0239506762,0.9996881933,0.0070626697,0.0434980552,-0.0060159254,0.999035399,301.871
151,0.9987663811,0.0242347855,-0.0433404074,-0.0239506762,0.9996881933,0.0070626697,0.0434980552,-0.0060159254,0.999035399,302.269
