画像読み込み成功: images/base/base2.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像読み込み成功: images/reference/ref_base2_w1_15_w2_30.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像サイズ: 6080 x 3040
比較領域: u=[1520,4560]  v=[760,2280]
真値: (ω1, ω2, ω3) = (15.0, 30.0, 0.0) [deg]
ω₁ スキャン範囲: 5.0°〜25.0°  (201点)
ω₂ スキャン範囲: 20.0°〜40.0°  (201点)
合計 40401 点を計算します

  進捗: 8000 / 40401  (ω1=8.9°, ω2=36.0°, E=1889.8061)
  進捗: 8050 / 40401  (ω1=9.0°, ω2=20.9°, E=1635.6482)
  進捗: 8100 / 40401  (ω1=9.0°, ω2=25.9°, E=1431.0475)
  進捗: 8150 / 40401  (ω1=9.0°, ω2=30.9°, E=1422.3923)
  進捗: 8200 / 40401  (ω1=9.0°, ω2=35.9°, E=1877.1346)
  進捗: 8250 / 40401  (ω1=9.1°, ω2=20.8°, E=1640.7922)
  進捗: 8300 / 40401  (ω1=9.1°, ω2=25.8°, E=1431.5722)
  進捗: 8350 / 40401  (ω1=9.1°, ω2=30.8°, E=1410.4608)
  進捗: 8400 / 40401  (ω1=9.1°, ω2=35.8°, E=1862.8947)
  進捗: 8450 / 40401  (ω1=9.2°, ω2=20.7°, E=1645.7312)
  進捗: 8500 / 40401  (ω1=9.2°, ω2=25.7°, E=1434.2027)
  進捗: 8550 / 40401  (ω1=9.2°, ω2=30.7°, E=1400.5370)
  進捗: 8600 / 40401  (ω1=9.2°, ω2=35.7°, E=1847.3360)
  進捗: 8650 / 40401  (ω1=9.3°, ω2=20.6°, E=1650.5662)
  進捗: 8700 / 40401  (ω1=9.3°, ω2=25.6°, E=1438.6209)
  進捗: 8750 / 40401  (ω1=9.3°, ω2=30.6°, E=1390.6146)
  進捗: 8800 / 40401  (ω1=9.3°, ω2=35.6°, E=1831.5871)
  進捗: 8850 / 40401  (ω1=9.4°, ω2=20.5°, E=1656.9100)
  進捗: 8900 / 40401  (ω1=9.4°, ω2=25.5°, E=1443.1331)
  進捗: 8950 / 40401  (ω1=9.4°, ω2=30.5°, E=1380.5092)
  進捗: 9000 / 40401  (ω1=9.4°, ω2=35.5°, E=1816.2628)
  進捗: 9050 / 40401  (ω1=9.5°, ω2=20.4°, E=1664.1526)
  進捗: 9100 / 40401  (ω1=9.5°, ω2=25.4°, E=1447.4439)
  進捗: 9150 / 40401  (ω1=9.5°, ω2=30.4°, E=1370.7162)
  進捗: 9200 / 40401  (ω1=9.5°, ω2=35.4°, E=1801.9196)
  進捗: 9250 / 40401  (ω1=9.6°, ω2=20.3°, E=1670.8880)
  進捗: 9300 / 40401  (ω1=9.6°, ω2=25.3°, E=1453.4231)
  進捗: 9350 / 40401  (ω1=9.6°, ω2=30.3°, E=1361.6261)
  進捗: 9400 / 40401  (ω1=9.6°, ω2=35.3°, E=1788.3603)
  進捗: 9450 / 40401  (ω1=9.7°, ω2=20.2°, E=1677.1157)
  進捗: 9500 / 40401  (ω1=9.7°, ω2=25.2°, E=1461.0945)
  進捗: 9550 / 40401  (ω1=9.7°, ω2=30.2°, E=1353.3174)
  進捗: 9600 / 40401  (ω1=9.7°, ω2=35.2°, E=1775.3945)
  進捗: 9650 / 40401  (ω1=9.8°, ω2=20.1°, E=1683.4553)
  進捗: 9700 / 40401  (ω1=9.8°, ω2=25.1°, E=1468.3061)
  進捗: 9750 / 40401  (ω1=9.8°, ω2=30.1°, E=1344.5894)
  進捗: 9800 / 40401  (ω1=9.8°, ω2=35.1°, E=1762.4959)
  進捗: 9850 / 40401  (ω1=9.9°, ω2=20.0°, E=1689.6902)
  進捗: 9900 / 40401  (ω1=9.9°, ω2=25.0°, E=1473.9815)
  進捗: 9950 / 40401  (ω1=9.9°, ω2=30.0°, E=1335.7794)
  進捗: 10000 / 40401  (ω1=9.9°, ω2=35.0°, E=1750.0723)
  進捗: 10050 / 40401  (ω1=9.9°, ω2=40.0°, E=2092.5289)
  進捗: 10100 / 40401  (ω1=10.0°, ω2=24.9°, E=1478.6364)
  進捗: 10150 / 40401  (ω1=10.0°, ω2=29.9°, E=1326.4152)
  進捗: 10200 / 40401  (ω1=10.0°, ω2=34.9°, E=1737.7974)
  進捗: 10250 / 40401  (ω1=10.0°, ω2=39.9°, E=2083.7473)
  進捗: 10300 / 40401  (ω1=10.1°, ω2=24.8°, E=1483.1218)
  進捗: 10350 / 40401  (ω1=10.1°, ω2=29.8°, E=1317.3770)
  進捗: 10400 / 40401  (ω1=10.1°, ω2=34.8°, E=1724.2611)
  進捗: 10450 / 40401  (ω1=10.1°, ω2=39.8°, E=2074.7986)
  進捗: 10500 / 40401  (ω1=10.2°, ω2=24.7°, E=1488.1995)
  進捗: 10550 / 40401  (ω1=10.2°, ω2=29.7°, E=1308.0068)
  進捗: 10600 / 40401  (ω1=10.2°, ω2=34.7°, E=1708.1012)
  進捗: 10650 / 40401  (ω1=10.2°, ω2=39.7°, E=2066.4809)
  進捗: 10700 / 40401  (ω1=10.3°, ω2=24.6°, E=1493.4814)
  進捗: 10750 / 40401  (ω1=10.3°, ω2=29.6°, E=1298.3714)
  進捗: 10800 / 40401  (ω1=10.3°, ω2=34.6°, E=1691.3210)
  進捗: 10850 / 40401  (ω1=10.3°, ω2=39.6°, E=2058.1734)
  進捗: 10900 / 40401  (ω1=10.4°, ω2=24.5°, E=1497.4262)
  進捗: 10950 / 40401  (ω1=10.4°, ω2=29.5°, E=1288.6714)
  進捗: 11000 / 40401  (ω1=10.4°, ω2=34.5°, E=1674.2489)
  進捗: 11050 / 40401  (ω1=10.4°, ω2=39.5°, E=2049.5167)
  進捗: 11100 / 40401  (ω1=10.5°, ω2=24.4°, E=1500.5108)
  進捗: 11150 / 40401  (ω1=10.5°, ω2=29.4°, E=1279.0188)
  進捗: 11200 / 40401  (ω1=10.5°, ω2=34.4°, E=1656.7794)
  進捗: 11250 / 40401  (ω1=10.5°, ω2=39.4°, E=2040.7537)
  進捗: 11300 / 40401  (ω1=10.6°, ω2=24.3°, E=1503.8329)
  進捗: 11350 / 40401  (ω1=10.6°, ω2=29.3°, E=1269.2014)
  進捗: 11400 / 40401  (ω1=10.6°, ω2=34.3°, E=1641.2155)
  進捗: 11450 / 40401  (ω1=10.6°, ω2=39.3°, E=2032.5894)
  進捗: 11500 / 40401  (ω1=10.7°, ω2=24.2°, E=1506.9576)
  進捗: 11550 / 40401  (ω1=10.7°, ω2=29.2°, E=1261.0528)
  進捗: 11600 / 40401  (ω1=10.7°, ω2=34.2°, E=1627.9433)
  進捗: 11650 / 40401  (ω1=10.7°, ω2=39.2°, E=2024.3068)
  進捗: 11700 / 40401  (ω1=10.8°, ω2=24.1°, E=1508.5534)
  進捗: 11750 / 40401  (ω1=10.8°, ω2=29.1°, E=1256.6312)
  進捗: 11800 / 40401  (ω1=10.8°, ω2=34.1°, E=1613.9923)
  進捗: 11850 / 40401  (ω1=10.8°, ω2=39.1°, E=2015.4304)
  進捗: 11900 / 40401  (ω1=10.9°, ω2=24.0°, E=1508.8138)
  進捗: 11950 / 40401  (ω1=10.9°, ω2=29.0°, E=1254.1634)
  進捗: 12000 / 40401  (ω1=10.9°, ω2=34.0°, E=1599.3188)
  進捗: 12050 / 40401  (ω1=10.9°, ω2=39.0°, E=2005.7476)
  進捗: 12100 / 40401  (ω1=11.0°, ω2=23.9°, E=1508.7717)
  進捗: 12150 / 40401  (ω1=11.0°, ω2=28.9°, E=1251.4726)
  進捗: 12200 / 40401  (ω1=11.0°, ω2=33.9°, E=1583.7531)
  進捗: 12250 / 40401  (ω1=11.0°, ω2=38.9°, E=1995.4607)
  進捗: 12300 / 40401  (ω1=11.1°, ω2=23.8°, E=1509.4798)
  進捗: 12350 / 40401  (ω1=11.1°, ω2=28.8°, E=1247.4961)
  進捗: 12400 / 40401  (ω1=11.1°, ω2=33.8°, E=1567.0724)
  進捗: 12450 / 40401  (ω1=11.1°, ω2=38.8°, E=1985.2076)
  進捗: 12500 / 40401  (ω1=11.2°, ω2=23.7°, E=1510.5776)
  進捗: 12550 / 40401  (ω1=11.2°, ω2=28.7°, E=1242.1640)
  進捗: 12600 / 40401  (ω1=11.2°, ω2=33.7°, E=1549.8935)
  進捗: 12650 / 40401  (ω1=11.2°, ω2=38.7°, E=1975.2072)
  進捗: 12700 / 40401  (ω1=11.3°, ω2=23.6°, E=1511.8616)
  進捗: 12750 / 40401  (ω1=11.3°, ω2=28.6°, E=1237.1134)
  進捗: 12800 / 40401  (ω1=11.3°, ω2=33.6°, E=1532.2980)
  進捗: 12850 / 40401  (ω1=11.3°, ω2=38.6°, E=1965.8409)
  進捗: 12900 / 40401  (ω1=11.4°, ω2=23.5°, E=1514.3007)
  進捗: 12950 / 40401  (ω1=11.4°, ω2=28.5°, E=1232.5688)
  進捗: 13000 / 40401  (ω1=11.4°, ω2=33.5°, E=1515.5954)
  進捗: 13050 / 40401  (ω1=11.4°, ω2=38.5°, E=1956.2963)
  進捗: 13100 / 40401  (ω1=11.5°, ω2=23.4°, E=1519.0679)
  進捗: 13150 / 40401  (ω1=11.5°, ω2=28.4°, E=1227.7432)
  進捗: 13200 / 40401  (ω1=11.5°, ω2=33.4°, E=1499.0595)
  進捗: 13250 / 40401  (ω1=11.5°, ω2=38.4°, E=1946.1407)
  進捗: 13300 / 40401  (ω1=11.6°, ω2=23.3°, E=1525.3480)
  進捗: 13350 / 40401  (ω1=11.6°, ω2=28.3°, E=1222.8627)
  進捗: 13400 / 40401  (ω1=11.6°, ω2=33.3°, E=1482.7050)
  進捗: 13450 / 40401  (ω1=11.6°, ω2=38.3°, E=1935.3014)
  進捗: 13500 / 40401  (ω1=11.7°, ω2=23.2°, E=1531.8689)
  進捗: 13550 / 40401  (ω1=11.7°, ω2=28.2°, E=1219.0187)
  進捗: 13600 / 40401  (ω1=11.7°, ω2=33.2°, E=1467.5334)
  進捗: 13650 / 40401  (ω1=11.7°, ω2=38.2°, E=1924.1896)
  進捗: 13700 / 40401  (ω1=11.8°, ω2=23.1°, E=1537.4675)
  進捗: 13750 / 40401  (ω1=11.8°, ω2=28.1°, E=1217.1423)
  進捗: 13800 / 40401  (ω1=11.8°, ω2=33.1°, E=1451.6366)
  進捗: 13850 / 40401  (ω1=11.8°, ω2=38.1°, E=1913.3428)
  進捗: 13900 / 40401  (ω1=11.9°, ω2=23.0°, E=1542.9678)
  進捗: 13950 / 40401  (ω1=11.9°, ω2=28.0°, E=1216.4601)
  進捗: 14000 / 40401  (ω1=11.9°, ω2=33.0°, E=1434.0957)
  進捗: 14050 / 40401  (ω1=11.9°, ω2=38.0°, E=1903.1993)
  進捗: 14100 / 40401  (ω1=12.0°, ω2=22.9°, E=1549.5466)
  進捗: 14150 / 40401  (ω1=12.0°, ω2=27.9°, E=1216.8754)
  進捗: 14200 / 40401  (ω1=12.0°, ω2=32.9°, E=1415.7222)
  進捗: 14250 / 40401  (ω1=12.0°, ω2=37.9°, E=1894.0532)
  進捗: 14300 / 40401  (ω1=12.1°, ω2=22.8°, E=1557.6729)
  進捗: 14350 / 40401  (ω1=12.1°, ω2=27.8°, E=1219.5942)
  進捗: 14400 / 40401  (ω1=12.1°, ω2=32.8°, E=1397.6130)
  進捗: 14450 / 40401  (ω1=12.1°, ω2=37.8°, E=1884.7916)
  進捗: 14500 / 40401  (ω1=12.2°, ω2=22.7°, E=1565.8011)
  進捗: 14550 / 40401  (ω1=12.2°, ω2=27.7°, E=1224.3309)
  進捗: 14600 / 40401  (ω1=12.2°, ω2=32.7°, E=1379.1903)
  進捗: 14650 / 40401  (ω1=12.2°, ω2=37.7°, E=1874.7881)
  進捗: 14700 / 40401  (ω1=12.3°, ω2=22.6°, E=1572.2228)
  進捗: 14750 / 40401  (ω1=12.3°, ω2=27.6°, E=1230.3172)
  進捗: 14800 / 40401  (ω1=12.3°, ω2=32.6°, E=1359.7342)
  進捗: 14850 / 40401  (ω1=12.3°, ω2=37.6°, E=1863.7245)
  進捗: 14900 / 40401  (ω1=12.4°, ω2=22.5°, E=1577.7597)
  進捗: 14950 / 40401  (ω1=12.4°, ω2=27.5°, E=1237.5895)
  進捗: 15000 / 40401  (ω1=12.4°, ω2=32.5°, E=1340.0090)
  進捗: 15050 / 40401  (ω1=12.4°, ω2=37.5°, E=1851.9514)
  進捗: 15100 / 40401  (ω1=12.5°, ω2=22.4°, E=1584.3928)
  進捗: 15150 / 40401  (ω1=12.5°, ω2=27.4°, E=1243.7589)
  進捗: 15200 / 40401  (ω1=12.5°, ω2=32.4°, E=1319.2400)
  進捗: 15250 / 40401  (ω1=12.5°, ω2=37.4°, E=1840.6446)
  進捗: 15300 / 40401  (ω1=12.6°, ω2=22.3°, E=1592.3110)
  進捗: 15350 / 40401  (ω1=12.6°, ω2=27.3°, E=1248.5256)
  進捗: 15400 / 40401  (ω1=12.6°, ω2=32.3°, E=1297.2947)
  進捗: 15450 / 40401  (ω1=12.6°, ω2=37.3°, E=1829.5590)
