画像読み込み成功: images/base/base3.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像読み込み成功: images/reference/ref_base3_w1_15_w2_30.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像サイズ: 6080 x 3040
比較領域: u=[1520,4560]  v=[760,2280]
真値: (ω1, ω2, ω3) = (15.0, 30.0, 0.0) [deg]
ω₁ スキャン範囲: 5.0°〜25.0°  (201点)
ω₂ スキャン範囲: 20.0°〜40.0°  (201点)
合計 40401 点を計算します

  進捗: 13200 / 40401  (ω1=11.5°, ω2=33.4°, E=977.5448)
  進捗: 13250 / 40401  (ω1=11.5°, ω2=38.4°, E=1162.5589)
  進捗: 13300 / 40401  (ω1=11.6°, ω2=23.3°, E=1064.1199)
  進捗: 13350 / 40401  (ω1=11.6°, ω2=28.3°, E=832.9308)
  進捗: 13400 / 40401  (ω1=11.6°, ω2=33.3°, E=964.9605)
  進捗: 13450 / 40401  (ω1=11.6°, ω2=38.3°, E=1154.3949)
  進捗: 13500 / 40401  (ω1=11.7°, ω2=23.2°, E=1063.6294)
  進捗: 13550 / 40401  (ω1=11.7°, ω2=28.2°, E=831.8816)
  進捗: 13600 / 40401  (ω1=11.7°, ω2=33.2°, E=952.3935)
  進捗: 13650 / 40401  (ω1=11.7°, ω2=38.2°, E=1144.7647)
  進捗: 13700 / 40401  (ω1=11.8°, ω2=23.1°, E=1063.3864)
  進捗: 13750 / 40401  (ω1=11.8°, ω2=28.1°, E=833.2864)
  進捗: 13800 / 40401  (ω1=11.8°, ω2=33.1°, E=939.7667)
  進捗: 13850 / 40401  (ω1=11.8°, ω2=38.1°, E=1134.1691)
  進捗: 13900 / 40401  (ω1=11.9°, ω2=23.0°, E=1063.4458)
  進捗: 13950 / 40401  (ω1=11.9°, ω2=28.0°, E=835.6283)
  進捗: 14000 / 40401  (ω1=11.9°, ω2=33.0°, E=927.7424)
  進捗: 14050 / 40401  (ω1=11.9°, ω2=38.0°, E=1123.1100)
  進捗: 14100 / 40401  (ω1=12.0°, ω2=22.9°, E=1064.3506)
  進捗: 14150 / 40401  (ω1=12.0°, ω2=27.9°, E=838.3341)
  進捗: 14200 / 40401  (ω1=12.0°, ω2=32.9°, E=916.1151)
  進捗: 14250 / 40401  (ω1=12.0°, ω2=37.9°, E=1111.9422)
  進捗: 14300 / 40401  (ω1=12.1°, ω2=22.8°, E=1065.4801)
  進捗: 14350 / 40401  (ω1=12.1°, ω2=27.8°, E=841.6827)
  進捗: 14400 / 40401  (ω1=12.1°, ω2=32.8°, E=903.3318)
  進捗: 14450 / 40401  (ω1=12.1°, ω2=37.8°, E=1101.2033)
  進捗: 14500 / 40401  (ω1=12.2°, ω2=22.7°, E=1066.1435)
  進捗: 14550 / 40401  (ω1=12.2°, ω2=27.7°, E=844.8073)
  進捗: 14600 / 40401  (ω1=12.2°, ω2=32.7°, E=888.9462)
  進捗: 14650 / 40401  (ω1=12.2°, ω2=37.7°, E=1090.1170)
  進捗: 14700 / 40401  (ω1=12.3°, ω2=22.6°, E=1066.4318)
  進捗: 14750 / 40401  (ω1=12.3°, ω2=27.6°, E=846.0520)
  進捗: 14800 / 40401  (ω1=12.3°, ω2=32.6°, E=873.8278)
  進捗: 14850 / 40401  (ω1=12.3°, ω2=37.6°, E=1079.0415)
  進捗: 14900 / 40401  (ω1=12.4°, ω2=22.5°, E=1066.6922)
  進捗: 14950 / 40401  (ω1=12.4°, ω2=27.5°, E=846.1401)
  進捗: 15000 / 40401  (ω1=12.4°, ω2=32.5°, E=859.2979)
  進捗: 15050 / 40401  (ω1=12.4°, ω2=37.5°, E=1068.3668)
  進捗: 15100 / 40401  (ω1=12.5°, ω2=22.4°, E=1067.5719)
  進捗: 15150 / 40401  (ω1=12.5°, ω2=27.4°, E=844.9802)
  進捗: 15200 / 40401  (ω1=12.5°, ω2=32.4°, E=844.8315)
  進捗: 15250 / 40401  (ω1=12.5°, ω2=37.4°, E=1057.9915)
  進捗: 15300 / 40401  (ω1=12.6°, ω2=22.3°, E=1068.9792)
  進捗: 15350 / 40401  (ω1=12.6°, ω2=27.3°, E=842.1150)
  進捗: 15400 / 40401  (ω1=12.6°, ω2=32.3°, E=829.8188)
  進捗: 15450 / 40401  (ω1=12.6°, ω2=37.3°, E=1047.5620)
  進捗: 15500 / 40401  (ω1=12.7°, ω2=22.2°, E=1070.1049)
