画像読み込み成功: images/base/base.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像読み込み成功: images/reference/ref_w1_15_w2_30.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像サイズ: 6080 x 3040
比較領域: u=[1520,4560]  v=[760,2280]
真値: (ω1, ω2, ω3) = (15.0, 30.0, 0.0) [deg]
ω₁ スキャン範囲: 5.0°〜25.0°  (201点)
ω₂ スキャン範囲: 20.0°〜40.0°  (201点)
合計 40401 点を計算します

  進捗: 5650 / 40401  (ω1=7.8°, ω2=22.1°, E=1607.2224)
  進捗: 5700 / 40401  (ω1=7.8°, ω2=27.1°, E=1411.9510)
  進捗: 5750 / 40401  (ω1=7.8°, ω2=32.1°, E=1601.0661)
  進捗: 5800 / 40401  (ω1=7.8°, ω2=37.1°, E=1691.1435)
  進捗: 5850 / 40401  (ω1=7.9°, ω2=22.0°, E=1609.6074)
  進捗: 5900 / 40401  (ω1=7.9°, ω2=27.0°, E=1408.4219)
  進捗: 5950 / 40401  (ω1=7.9°, ω2=32.0°, E=1588.9904)
  進捗: 6000 / 40401  (ω1=7.9°, ω2=37.0°, E=1688.3238)
  進捗: 6050 / 40401  (ω1=8.0°, ω2=21.9°, E=1611.5770)
  進捗: 6100 / 40401  (ω1=8.0°, ω2=26.9°, E=1404.0402)
  進捗: 6150 / 40401  (ω1=8.0°, ω2=31.9°, E=1577.5774)
  進捗: 6200 / 40401  (ω1=8.0°, ω2=36.9°, E=1685.5716)
  進捗: 6250 / 40401  (ω1=8.1°, ω2=21.8°, E=1612.9894)
  進捗: 6300 / 40401  (ω1=8.1°, ω2=26.8°, E=1399.5713)
  進捗: 6350 / 40401  (ω1=8.1°, ω2=31.8°, E=1566.5413)
  進捗: 6400 / 40401  (ω1=8.1°, ω2=36.8°, E=1682.2329)
  進捗: 6450 / 40401  (ω1=8.2°, ω2=21.7°, E=1613.9509)
  進捗: 6500 / 40401  (ω1=8.2°, ω2=26.7°, E=1396.0749)
  進捗: 6550 / 40401  (ω1=8.2°, ω2=31.7°, E=1555.5118)
  進捗: 6600 / 40401  (ω1=8.2°, ω2=36.7°, E=1678.3935)
  進捗: 6650 / 40401  (ω1=8.3°, ω2=21.6°, E=1614.6203)
  進捗: 6700 / 40401  (ω1=8.3°, ω2=26.6°, E=1392.6049)
  進捗: 6750 / 40401  (ω1=8.3°, ω2=31.6°, E=1543.8690)
  進捗: 6800 / 40401  (ω1=8.3°, ω2=36.6°, E=1675.2236)
  進捗: 6850 / 40401  (ω1=8.4°, ω2=21.5°, E=1614.4943)
  進捗: 6900 / 40401  (ω1=8.4°, ω2=26.5°, E=1389.9757)
  進捗: 6950 / 40401  (ω1=8.4°, ω2=31.5°, E=1530.6164)
  進捗: 7000 / 40401  (ω1=8.4°, ω2=36.5°, E=1673.0864)
  進捗: 7050 / 40401  (ω1=8.5°, ω2=21.4°, E=1613.3842)
  進捗: 7100 / 40401  (ω1=8.5°, ω2=26.4°, E=1389.1731)
  進捗: 7150 / 40401  (ω1=8.5°, ω2=31.4°, E=1515.6899)
  進捗: 7200 / 40401  (ω1=8.5°, ω2=36.4°, E=1671.9836)
  進捗: 7250 / 40401  (ω1=8.6°, ω2=21.3°, E=1612.1559)
  進捗: 7300 / 40401  (ω1=8.6°, ω2=26.3°, E=1390.3160)
  進捗: 7350 / 40401  (ω1=8.6°, ω2=31.3°, E=1500.8549)
  進捗: 7400 / 40401  (ω1=8.6°, ω2=36.3°, E=1671.9975)
  進捗: 7450 / 40401  (ω1=8.7°, ω2=21.2°, E=1611.0447)
  進捗: 7500 / 40401  (ω1=8.7°, ω2=26.2°, E=1393.7883)
  進捗: 7550 / 40401  (ω1=8.7°, ω2=31.2°, E=1486.9548)
  進捗: 7600 / 40401  (ω1=8.7°, ω2=36.2°, E=1673.2575)
  進捗: 7650 / 40401  (ω1=8.8°, ω2=21.1°, E=1610.5308)
  進捗: 7700 / 40401  (ω1=8.8°, ω2=26.1°, E=1399.1994)
  進捗: 7750 / 40401  (ω1=8.8°, ω2=31.1°, E=1474.0015)
  進捗: 7800 / 40401  (ω1=8.8°, ω2=36.1°, E=1674.0787)
