omega2_deg,E,dE_dw1,dE_dw2,grad_norm
36.9,1530.2399439218,410.145427,1669.596464,1719.235768
37.0,1532.7763402992,591.987547,1374.881140,1496.912624
37.1,1535.3192407309,727.922823,1522.582380,1687.639992
37.2,1538.0826989774,748.694156,1623.942383,1788.220289
37.3,1540.6860312664,698.015217,1468.922938,1626.333250
37.4,1543.4230358340,573.194986,1605.974878,1705.200223
37.5,1546.4161940613,395.698780,1737.958096,1782.435375
37.6,1549.3132124507,216.612712,1643.369034,1657.583437
37.7,1552.0816628606,63.868262,1601.732114,1603.004965
37.8,1555.1740177324,-121.312914,1812.705793,1816.760610
37.9,1558.2838793513,-236.953745,1829.623626,1844.903707
38.0,1561.7151296244,-287.051807,2103.699694,2123.193619
38.1,1565.3805059120,-267.299539,1997.481690,2015.287112
38.2,1568.6106671901,-225.167737,1755.324445,1769.707438
38.3,1571.4793671931,-160.788334,1604.216920,1612.254575
38.4,1574.3971773741,-138.333577,1680.469982,1686.154067
38.5,1577.1952998150,-189.543995,1539.536922,1551.161133
38.6,1579.5378460344,-295.076950,1227.160984,1262.138854
38.7,1581.8275906131,-320.931415,1459.100203,1493.978037
38.8,1584.8691857467,-292.011651,2041.452093,2062.231183
38.9,1588.8516464619,-290.124245,2470.492746,2487.469896
39.0,1592.9453794865,-330.551705,2146.545857,2171.847957
39.1,1596.4653947371,-346.191332,1971.614720,2001.777471
39.2,1599.9892461601,-344.139215,2143.910795,2171.355636
39.3,1603.6957518240,-250.076159,2192.760713,2206.974768
39.4,1607.4905771313,-171.259761,2173.586623,2180.323075
39.5,1611.1472137312,-125.790297,1901.247757,1905.404480
39.6,1614.1142052946,-73.701702,1534.554797,1536.323653
39.7,1616.5617285797,-2.063528,1299.143577,1299.145216
39.8,1618.7818758393,50.675111,1208.469810,1209.531830
39.9,1620.9759233706,91.727597,1303.591735,1306.814969
40.0,1623.5709129087,59.115615,1630.518293,1631.589581
